<0> eats-fish,water-habitat => flies,nocturnal,feathered,migratory,red-bill,elytra,sea-habitat,wood-habitat,six-legged
<0> six-legged => flies,nocturnal,feathered,migratory,red-bill,elytra,sea-habitat,wood-habitat,eats-fish,water-habitat
<0> wood-habitat => flies,nocturnal,feathered,migratory,red-bill,elytra,sea-habitat,six-legged,eats-fish,water-habitat
<0> sea-habitat,water-habitat => flies,nocturnal,feathered,migratory,red-bill,elytra,wood-habitat,six-legged,eats-fish
<0> sea-habitat,eats-fish => flies,nocturnal,feathered,migratory,red-bill,elytra,wood-habitat,six-legged,water-habitat
<0> elytra => flies,nocturnal,feathered,migratory,red-bill,sea-habitat,wood-habitat,six-legged,eats-fish,water-habitat
<0> red-bill => flies,nocturnal,feathered,migratory,elytra,sea-habitat,wood-habitat,six-legged,eats-fish,water-habitat
<0> feathered,water-habitat => flies,nocturnal,migratory,red-bill,elytra,sea-habitat,wood-habitat,six-legged,eats-fish
<0> feathered,migratory,eats-fish => flies,nocturnal,red-bill,elytra,sea-habitat,wood-habitat,six-legged,water-habitat
<0> nocturnal => flies,feathered,migratory,red-bill,elytra,sea-habitat,wood-habitat,six-legged,eats-fish,water-habitat
<0> flies,feathered,sea-habitat => nocturnal,migratory,red-bill,elytra,wood-habitat,six-legged,eats-fish,water-habitat
